nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link,harga_kategori,harga_m2_kategori
Hunian Strategis Dekat Kampus Ternama,2,3,73,1397000000,22532258,"pangkalan jati, Antasari, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-strategis-dekat-kampus-ternama-oleh-rahmi-18767377,"0 - 1,5 M",15 - 25 Juta
Rumah Exclusive 2 Lantai di Jakarta Selatan,2,3,73,1397000000,23283333,"Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-exclusive-2-lantai-di-jakarta-selatan-oleh-fatma-mutia-17723796,"0 - 1,5 M",15 - 25 Juta
Cantik Rumah Milenials Dengan Desain Keren,2,3,73,1397000000,23283333,"pangkalan jati, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cantik-rumah-milenials-dengan-desain-keren-oleh-rahmi-18912578,"0 - 1,5 M",15 - 25 Juta
Hunian Mewah Pilihan Milenial Dengan Interior Yang Keren,2,3,73,1397000000,23283333,"pangkalan jati, Ragunan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-mewah-pilihan-milenial-dengan-interior-yang-keren-oleh-rahmi-18799233,"0 - 1,5 M",15 - 25 Juta
Mewah Rumah Milenials Dekat Ragunan,2,3,73,1397000000,23283333,"pangkalan jati, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-mewah-rumah-milenials-dekat-ragunan-oleh-rahmi-18903189,"0 - 1,5 M",15 - 25 Juta
Rumah Murah Dan Mewah Pilihan Milenials Dekat Tol Andara,2,3,73,1397000000,23283333,"pangkalan jati, Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-murah-dan-mewah-pilihan-milenials-dekat-tol-andara-oleh-rahmi-18888744,"0 - 1,5 M",15 - 25 Juta
Rumah Asri Dan Exclusive Dengan Desain Keren,2,3,73,1397000000,23283333,"pangkalan jati, Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-asri-dan-exclusive-dengan-desain-keren-oleh-rahmi-18799196,"0 - 1,5 M",15 - 25 Juta
Hunian Mewah Dengan Pondasi Bata Merah,2,3,73,1397000000,23283333,"pangkalan jati, Ampera, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-mewah-dengan-pondasi-bata-merah-oleh-rahmi-18816258,"0 - 1,5 M",15 - 25 Juta
Hunian Cantik Dengan Free AC 2 Unit,2,3,73,1397000000,23283333,"pangkalan jati, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-cantik-dengan-free-ac-2-unit-oleh-rahmi-18868629,"0 - 1,5 M",15 - 25 Juta
Rumah di Bintaro,2,3,90,1380000000,14838710,"Bintaro, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-di-bintaro-oleh-muhammad-saefullah-18144896,"0 - 1,5 M",10 - 15 Juta
Rumah 2 Lantai di Bintaro,2,3,90,1380000000,15164835,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-di-bintaro-oleh-muhammad-saefullah-17894570,"0 - 1,5 M",15 - 25 Juta
mutiara matoa residence 2,2,3,84,1375500000,18340000,"M.kahfi 1,jalan aselih raya no.78,jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-mutiara-matoa-residence-2-oleh-silvia-16593609,"0 - 1,5 M",15 - 25 Juta
Rumah Cluster Baru di Gandaria Raya Jagakarsa Jakarta Selatan,2,4,130,1375000000,18333333,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-cluster-baru-di-gandaria-raya-jagakarsa-jakarta-selatan-oleh-dewi-komalasari-18847702,"0 - 1,5 M",15 - 25 Juta
"Jagakarsa, Jakarta Selatan",3,4,131,1375000000,18333333,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-jakarta-selatan-oleh-dewi-komalasari-18863772,"0 - 1,5 M",15 - 25 Juta
Kemiri loka,2,3,76,1371000000,13057143,"Jl. Kemiri raya, Pondok Cabe, Tangsel, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kemiri-loka-oleh-dede-sulaeman-18906473,"0 - 1,5 M",10 - 15 Juta
Rumah Nuansa Asri 2 Lantai Bebas Banjir di Pangkalan Jati Jakarta Selatan,2,3,73,1370000000,22833333,"Pondok Labu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-nuansa-asri-2-lantai-bebas-banjir-di-pangkalan-jati-jakarta-selatan-oleh-sahlani-17123653,"0 - 1,5 M",15 - 25 Juta
Jagakarsa,4,4,120,1370000000,13979592,"Mochamad Kahfi tanah baru tugu, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-oleh-iko-18935791,"0 - 1,5 M",10 - 15 Juta
NEW CLUSTER 42 UNIT RAW 6 METER NEMPEL JAKARTA SELATAN,4,4,120,1370000000,13979592,"Tanah baru, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-new-cluster-42-unit-raw-6-meter-nempel-jakarta-selatan-oleh-allan-dody-18247216,"0 - 1,5 M",10 - 15 Juta
"Rumah indent ciganjur, jl. Panjang, jakarta selatan",3,3,120,1360000000,16190476,"Jl. Panjang, ciganjur jakarta selatan, Ciganjur, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-indent-ciganjur-jl-panjang-jakarta-selatan-oleh-aziz-faeyza-18303434,"0 - 1,5 M",15 - 25 Juta
